City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Mataura,NZ,-46.1927,168.8643,47.48,90,41,5.12,scattered clouds
81,Hovd,MN,48.0056,91.6419,59.18,57,1,4.88,clear sky
82,Fort Nelson,CA,58.8053,-122.7002,63.99,48,75,3.44,broken clouds
83,Upernavik,GL,72.7868,-56.1549,40.33,88,94,12.59,overcast clouds
84,Hermanus,ZA,-34.4187,19.2345,57.79,86,91,15.46,overcast clouds
85,Jay,US,44.5039,-70.2162,74.93,78,15,3.11,few clouds
86,Khatanga,RU,71.9667,102.5,46.04,77,100,10.25,overcast clouds
87,Odweyne,SO,9.4092,45.064,74.68,41,100,19.62,overcast clouds
88,Coxim,BR,-18.5067,-54.76,72.27,47,12,2.08,few clouds
89,Butaritari,KI,3.0707,172.7902,82.18,78,5,18.1,light rain
90,Terrace,CA,54.5163,-128.6035,55.31,82,100,18.41,overcast clouds
91,Vostok,RU,46.4856,135.8833,71.92,70,95,6.8,overcast clouds
92,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.5,84,6,8.19,clear sky
93,Klaksvik,FO,62.2266,-6.589,49.12,88,100,6.02,overcast clouds
94,Berlevag,NO,70.8578,29.0864,58.8,97,100,13.76,overcast clouds
95,Esperance,AU,-33.8667,121.9,63.28,44,42,22.08,scattered clouds
96,Bonthe,SL,7.5264,-12.505,75.54,90,76,6.91,light rain
97,Mogadishu,SO,2.0371,45.3438,75.94,89,95,16.91,light rain
98,Verkhoyansk,RU,67.5447,133.385,66.96,51,17,5.01,few clouds
99,Beringovskiy,RU,63.05,179.3167,49.98,87,100,6.24,overcast clouds
100,Dongfeng,CN,42.6403,125.5118,66.7,93,100,11.16,overcast clouds
101,Batagay-Alyta,RU,67.8006,130.4114,67.59,52,14,7.9,few clouds
102,Wahpeton,US,46.2652,-96.6059,77.72,53,0,5.75,clear sky
103,Puerto Ayora,EC,-0.7393,-90.3518,68.56,96,46,5.01,light rain
104,Lexington,US,37.9887,-84.4777,78.12,63,7,6.31,clear sky
105,Narsaq,GL,60.9167,-46.05,50.22,65,100,5.84,overcast clouds
106,Saint-Francois,FR,46.4154,3.9054,65.68,82,0,3.44,clear sky
107,Basco,PH,20.4487,121.9702,84.92,74,37,7.81,scattered clouds
108,Hithadhoo,MV,-0.6,73.0833,83.17,73,20,13.38,few clouds
109,Ahipara,NZ,-35.1667,173.1667,55.81,96,100,11.63,light rain
110,Otjimbingwe,NA,-22.35,16.1333,60.01,35,0,4.99,clear sky
111,Ponta Do Sol,PT,32.6667,-17.1,68.72,76,29,2.84,scattered clouds
112,Daru,PG,-9.0763,143.2092,78.15,72,96,17.45,overcast clouds
113,Inirida,CO,3.8653,-67.9239,73.18,98,100,2.44,overcast clouds
114,Andenes,NO,69.3143,16.1194,53.58,94,100,8.05,overcast clouds
115,Sung Noen,TH,14.8992,101.8207,84.65,72,100,8.5,overcast clouds
116,Lagos,NG,6.5833,3.75,74.39,93,100,4.29,light rain
117,Kushmurun,KZ,52.4503,64.6311,71.4,64,7,2.04,clear sky
118,Iqaluit,CA,63.7506,-68.5145,40.73,86,75,8.05,broken clouds
119,Saskylakh,RU,71.9167,114.0833,47.21,61,100,9.04,overcast clouds
120,Vaini,TO,-21.2,-175.2,76.89,85,12,19.73,few clouds
121,Nantucket,US,41.2835,-70.0995,73.51,93,0,3.44,mist
122,Shancheng,CN,34.7953,116.0817,85.21,81,93,0.85,overcast clouds
123,Myszkow,PL,50.5752,19.3246,68.9,70,99,8.12,overcast clouds
124,Yerbogachen,RU,61.2767,108.0108,62.24,47,100,4.65,overcast clouds
125,Sunagawa,JP,43.4864,141.9056,75.45,68,67,3.89,broken clouds
126,Constitucion,CL,-35.3333,-72.4167,41.11,94,100,7.78,moderate rain
127,Zhigansk,RU,66.7697,123.3711,67.41,76,95,10.67,light rain
128,Poum,NC,-20.2333,164.0167,73.96,62,100,18.75,overcast clouds
129,Rocha,UY,-34.4833,-54.3333,41.02,89,3,8.08,clear sky
130,Ust-Omchug,RU,61.15,149.6333,77.67,47,68,2.86,broken clouds
131,Olovyannaya,RU,50.95,115.5667,71.55,63,18,12.15,few clouds
132,Hobyo,SO,5.3505,48.5268,77.72,77,85,22.28,overcast clouds
133,Gizo,SB,-8.103,156.8419,84.29,70,23,6.71,few clouds
