City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
231,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
233,Bethel,US,78.67,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
234,Bandarbeyla,SO,79.29,overcast clouds,9.4942,50.8122,JABIR HOTEL
238,Itarema,BR,78.96,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
239,Jurado,CO,76.23,light rain,7.1053,-77.7641,
241,Harper,LR,75.67,overcast clouds,4.375,-7.7169,Screensaver
243,Myaundzha,RU,75.63,scattered clouds,63.0494,147.1858,
252,Jiuquan,CN,77.04,overcast clouds,39.7432,98.5174,Jiuquan Hotel
254,Vila,PT,81.48,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
255,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
265,Estelle,US,84.2,broken clouds,29.8458,-90.1067,Ohio
266,Pangkalanbuun,ID,82.38,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
267,Mitsamiouli,KM,77.5,clear sky,-11.3847,43.2844,Foyer ADM
272,Kirakira,SB,84.52,clear sky,-10.4544,161.9205,SanBiz Lodge
277,Manoel Urbano,BR,77.9,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
278,Meulaboh,ID,80.17,few clouds,4.1363,96.1285,Kost Pria
281,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
284,Hamilton,US,79.65,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
286,Kerema,PG,78.91,overcast clouds,-7.9631,145.7785,Frena Lodge
291,Misratah,LY,77.95,clear sky,32.3754,15.0925,Almasa Hotel
295,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
297,Tiznit,MA,76.66,clear sky,29.5833,-9.5,
299,San Policarpo,PH,83.88,scattered clouds,12.1791,125.5072,Agapita M. Nicart
300,Portland,US,81.18,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
304,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
306,Balabac,PH,82.42,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
311,Bandar,ID,78.46,overcast clouds,2.05,99.75,
315,Lompoc,US,76.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
316,Bremerton,US,78.35,clear sky,47.5673,-122.6326,Hampton Inn & Suites Bremerton
321,Thai Binh,VN,86.63,overcast clouds,20.45,106.3333,Sweden Hotel
322,San Patricio,US,88.18,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
323,Thinadhoo,MV,83.26,scattered clouds,0.5333,72.9333,
328,Cuyo,PH,83.71,broken clouds,10.8525,121.0086,Francia Inn
329,Umm Kaddadah,SD,80.44,overcast clouds,13.6017,26.6876,
331,Ugoofaaru,MV,82.54,overcast clouds,5.6667,73.0,Ungoofaaru Inn
333,Mersing,MY,80.51,scattered clouds,2.4312,103.8405,Timotel Hotel
336,Gazojak,TM,84.78,clear sky,41.1875,61.4036,
337,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
338,Bima,ID,83.07,overcast clouds,-8.4667,118.7167,Lambitu Hotel
343,Russell,US,79.88,overcast clouds,32.3502,-85.1999,Macs
348,General Teran,MX,76.59,scattered clouds,25.2667,-99.6833,OYO Hotel Garate
351,Nakatsugawa,JP,81.1,overcast clouds,35.4833,137.5,Plaza Hotel Sakae
352,Cheney,US,85.48,broken clouds,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
353,Sinnamary,GF,76.12,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
359,Shihezi,CN,82.17,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
360,Naze,JP,85.12,overcast clouds,28.3667,129.4833,Shishime Hotel
361,Kieta,PG,86.11,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
363,Sakakah,SA,87.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
364,Hasaki,JP,75.6,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
365,Ciudad Bolivar,VE,77.27,overcast clouds,8.1222,-63.5497,Hotel Edi
367,Eyl,SO,80.28,overcast clouds,7.9803,49.8164,Amiin Hotel
372,Jawhar,SO,75.15,overcast clouds,2.7809,45.5005,Hotel Shabelle
373,Mitchell,US,84.18,clear sky,43.7094,-98.0298,Kelly Inn & Suites
374,Sabha,LY,75.4,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
379,Tutoia,BR,77.63,few clouds,-2.7619,-42.2744,Pousada Guará's
380,Sohag,EG,80.89,few clouds,26.557,31.6948,Civil Registry - Sohag 1
383,Erdemli,TR,79.16,clear sky,36.605,34.3084,Sun Rice Otel
393,Pierre,US,84.85,clear sky,44.3683,-100.351,Ramkota Hotel
397,Honiara,SB,87.35,broken clouds,-9.4333,159.95,Heritage Park Hotel
398,Kirkuk,IQ,86.32,clear sky,35.4681,44.3922,Cihad Oteli
405,Iida,JP,79.03,overcast clouds,35.5197,137.8207,Hotel Ohashi Iida
407,Golden,US,85.37,overcast clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
408,Pine Bluff,US,87.33,clear sky,34.2284,-92.0032,"Holiday Inn Express & Suites Pine Bluff, an IHG Hotel"
409,Ewa Beach,US,84.15,broken clouds,21.3156,-158.0072,Base Lodging
412,Turkmenabat,TM,78.78,clear sky,39.0733,63.5786,"Гостиница ""Yupek Yoly"" (Шелковый путь)"
